iter	TotalF1	MultiClass
0	0.9978474877	0.6971131282
1	0.9978474877	0.4470195676
2	0.9978474877	0.2890971491
3	0.9978474877	0.18881948
4	0.9978474877	0.1254623172
5	0.9978474877	0.08221514864
6	0.9978474877	0.05635970438
7	0.9980027683	0.04018558003
8	0.9978474877	0.0296502099
9	0.9978474877	0.02437192798
10	0.9978474877	0.01991619187
11	0.9979995769	0.01697055935
12	0.9981534209	0.01467868832
13	0.9983072522	0.01279916379
14	0.9981534209	0.0112506158
15	0.9983072522	0.01054165245
16	0.9983072522	0.00995642132
17	0.9983072522	0.009601914794
18	0.9983072522	0.008846466359
19	0.9984615748	0.007813357381
20	0.9984608029	0.006986126729
21	0.9986151265	0.006760120646
22	0.9986151265	0.006158168018
23	0.9986151265	0.005811865962
24	0.9986151265	0.005623900013
25	0.9986151265	0.005303786222
26	0.9986151265	0.005166067628
27	0.9989229248	0.004853295349
28	0.9989229248	0.004566857138
29	0.9990769178	0.004280161461
30	0.9990769178	0.004196755473
31	0.9990769178	0.004019548355
32	0.9990769178	0.003883796754
33	0.9992307607	0.003768101897
34	0.9992307607	0.003716833094
35	0.9992307607	0.003539479495
36	0.9992307607	0.003474084477
37	0.9992307607	0.003341295276
38	0.9992307607	0.003264403599
39	0.9992307607	0.003174625646
40	0.9992307607	0.003076230159
41	0.9992307607	0.00298915036
42	0.9992307607	0.00293860059
43	0.9992307607	0.002894099172
44	0.9992307607	0.002835950955
45	0.9993846122	0.002760516453
46	0.9993846122	0.002728717981
47	0.9995384615	0.002689412028
48	0.9995384615	0.002612292771
49	0.9995384615	0.002569020004
50	0.9995384615	0.002501421746
