iter	Passed	Remaining
0	158	317632
1	183	183691
2	207	138103
3	234	116837
4	259	103595
5	282	93912
6	307	87645
7	330	82213
8	353	78246
9	378	75333
10	402	72800
11	427	70819
12	452	69112
13	475	67506
14	501	66360
15	525	65213
16	549	64051
17	573	63139
18	596	62146
19	620	61384
20	644	60713
21	666	59967
22	691	59401
23	713	58737
24	736	58145
25	760	57709
26	782	57144
27	805	56740
28	827	56250
29	850	55869
30	873	55490
31	897	55187
32	922	54957
33	944	54608
34	967	54342
35	989	53997
36	1014	53815
37	1036	53512
38	1061	53358
39	1084	53137
40	1107	52938
41	1130	52725
42	1153	52488
43	1175	52269
44	1196	51980
45	1217	51736
46	1239	51509
47	1260	51276
48	1282	51064
49	1304	50868
50	1325	50666
