step,train_mloss,train_gloss,train_loss
100.0,1.4626,1.0086,2.4711999999999996
200.0,1.215,1.0145,2.2295
300.0,1.0659,1.0145,2.0804
400.0,0.955,1.0143,1.9693
500.0,0.8999,1.0138,1.9137
600.0,0.8545,1.0142,1.8687
700.0,0.8152,1.012,1.8272
800.0,0.7933,1.0118,1.8051
900.0,0.759,1.0087,1.7677
1000.0,0.748,1.008,1.756
1100.0,0.7243,1.0076,1.7319
1200.0,0.7101,1.0065,1.7166
1300.0,0.6966,1.0041,1.7006999999999999
1400.0,0.6803,1.0037,1.6840000000000002
1500.0,0.6734,1.0023,1.6757
1600.0,0.6602,1.0006,1.6608
1700.0,0.6475,0.9984,1.6459
1800.0,0.6446,0.9972,1.6418
1900.0,0.6306,0.9959,1.6265
2000.0,0.6197,0.9949,1.6146
2100.0,0.6121,0.9926,1.6047
2200.0,0.6,0.9906,1.5906
2300.0,0.5986,0.9907,1.5893000000000002
2400.0,0.5875,0.988,1.5755
2500.0,0.5793,0.9874,1.5667
2600.0,0.5748,0.9856,1.5604
2700.0,0.5663,0.9848,1.5511
2800.0,0.5691,0.9842,1.5533000000000001
2900.0,0.563,0.9829,1.5459
3000.0,0.5566,0.9829,1.5394999999999999
3100.0,0.5545,0.9817,1.5362
3200.0,0.5486,0.9811,1.5297
3300.0,0.5498,0.9807,1.5305
3400.0,0.5455,0.9789,1.5244
3500.0,0.5397,0.9787,1.5184
3600.0,0.5344,0.9779,1.5123
3700.0,0.5465,0.9767,1.5232
3800.0,0.533,0.9776,1.5106000000000002
3900.0,0.533,0.9765,1.5095
4000.0,0.5278,0.9753,1.5030999999999999
4100.0,0.5231,0.9758,1.4989
4200.0,0.5265,0.976,1.5025
4300.0,0.5248,0.9748,1.4996
4400.0,0.5192,0.9742,1.4933999999999998
4500.0,0.5184,0.9739,1.4923
4600.0,0.516,0.9729,1.4889000000000001
4700.0,0.5181,0.9734,1.4915
4800.0,0.5137,0.9718,1.4855
4900.0,0.5111,0.9722,1.4832999999999998
5000.0,0.5073,0.9699,1.4771999999999998
5100.0,0.5098,0.9711,1.4809
5200.0,0.5105,0.9707,1.4811999999999999
5300.0,0.5071,0.9699,1.4769999999999999
5400.0,0.5013,0.9689,1.4702
5500.0,0.5027,0.9687,1.4714
5600.0,0.4953,0.969,1.4643
5700.0,0.4965,0.9677,1.4642
5800.0,0.498,0.9677,1.4657
5900.0,0.4976,0.9668,1.4644
6000.0,0.492,0.9673,1.4593
6100.0,0.4959,0.9661,1.462
6200.0,0.4945,0.9667,1.4612
6300.0,0.4934,0.9646,1.458
6400.0,0.4921,0.9643,1.4564
6500.0,0.4896,0.9642,1.4538
6600.0,0.4851,0.9632,1.4483
6700.0,0.4803,0.9636,1.4439
6800.0,0.4837,0.9633,1.447
6900.0,0.4849,0.9635,1.4484
7000.0,0.4832,0.9621,1.4453
7100.0,0.4829,0.962,1.4449
7200.0,0.4848,0.9607,1.4455
7300.0,0.4784,0.9594,1.4378
7400.0,0.4774,0.9599,1.4373
7500.0,0.4868,0.9609,1.4477
7600.0,0.4849,0.9598,1.4447
7700.0,0.4766,0.9583,1.4349
7800.0,0.4824,0.9565,1.4389
7900.0,0.4776,0.9564,1.4340000000000002
8000.0,0.4762,0.956,1.4322
8100.0,0.476,0.9542,1.4302000000000001
8200.0,0.4712,0.9539,1.4251
8300.0,0.4732,0.953,1.4262
8400.0,0.4732,0.9519,1.4251
8500.0,0.4712,0.9517,1.4229
8600.0,0.4681,0.953,1.4211
8700.0,0.4719,0.9499,1.4218
8800.0,0.4725,0.9502,1.4227
8900.0,0.4714,0.9495,1.4209
9000.0,0.4678,0.9487,1.4165
9100.0,0.47,0.9488,1.4188
9200.0,0.4659,0.9478,1.4137
9300.0,0.4649,0.9471,1.412
9400.0,0.4642,0.9456,1.4098
9500.0,0.4639,0.9457,1.4096
9600.0,0.4604,0.9446,1.405
9700.0,0.4616,0.9444,1.4060000000000001
9800.0,0.4593,0.9436,1.4029
9900.0,0.4598,0.9438,1.4036
10000.0,0.4575,0.943,1.4005
10100.0,0.4594,0.9431,1.4025
10200.0,0.4555,0.941,1.3965
10300.0,0.4542,0.9415,1.3957
10400.0,0.4572,0.9402,1.3974
10500.0,0.458,0.9398,1.3978
10600.0,0.4573,0.9396,1.3969
10700.0,0.4557,0.938,1.3937
10800.0,0.451,0.9391,1.3901000000000001
10900.0,0.4532,0.9388,1.392
11000.0,0.4565,0.9379,1.3944
11100.0,0.4531,0.9384,1.3915
11200.0,0.4532,0.9373,1.3905
11300.0,0.4513,0.9379,1.3892
11400.0,0.4526,0.936,1.3886
11500.0,0.4492,0.9358,1.385
11600.0,0.4493,0.9356,1.3849
11700.0,0.4521,0.9357,1.3878
11800.0,0.4514,0.9353,1.3867
11900.0,0.4478,0.9347,1.3824999999999998
12000.0,0.4503,0.9337,1.384
12100.0,0.4465,0.9329,1.3794
12200.0,0.4496,0.9347,1.3843
12300.0,0.4493,0.933,1.3823
12400.0,0.4483,0.9335,1.3818
12500.0,0.4469,0.9322,1.3791
12600.0,0.4461,0.9321,1.3782
12700.0,0.447,0.9324,1.3794
12800.0,0.4471,0.9315,1.3786
12900.0,0.4438,0.9304,1.3742
13000.0,0.4421,0.9317,1.3738
13100.0,0.4415,0.9316,1.3731
13200.0,0.445,0.9304,1.3754
13300.0,0.4481,0.9311,1.3792
13400.0,0.4397,0.9311,1.3708
13500.0,0.4418,0.9303,1.3721
13600.0,0.445,0.9291,1.3741
13700.0,0.4445,0.9314,1.3759000000000001
13800.0,0.4488,0.9297,1.3784999999999998
13900.0,0.4456,0.929,1.3746
